code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600502,安徽水利,建筑施工,安徽,24.56,9.04,9.04,1730055.25,1390756.75,153241.27,32335.65,0.36,0.33799999999999997,4.07,2.04,20030415,130576.17,1.44,25.43,19.45,10.24,2.66,58546
002004,华邦健康,化学制药,重庆,29.07,15.33,20.35,2515526.0,1325063.38,270229.09,547347.94,2.69,0.071,4.81,1.72,20040625,209881.91,1.03,33.92,-15.77,27.99,7.16,121823
600815,厦工股份,工程机械,福建,0.0,9.59,9.59,1009522.63,757059.88,120625.07,202150.72,2.11,-0.547,2.66,1.87,19940128,-70130.74,-0.73,4.85,-81.33,7.36,-21.36,54517
603368,柳州医药,医药商业,广西,32.36,0.57,1.42,653793.88,593316.13,36904.7,218929.67,15.38,0.588,23.0,3.31,20141204,84953.2,5.97,19.72,31.03,9.31,3.87,23619
300326,凯利泰,医疗保健,上海,43.04,5.82,7.15,210537.52,98266.65,30324.0,100910.46,1.41,0.171,4.6,2.13,20120613,38281.15,0.54,27.41,31.68,75.2,29.37,23132
603018,中设集团,建筑施工,江苏,33.9,1.26,2.08,435929.5,348301.19,37499.73,83181.28,4.0,1.0090000000000001,9.14,3.74,20141013,79325.27,3.81,42.51,30.95,33.95,10.54,11611
002596,海南瑞泽,其他建材,海南,268.35,2.12,3.25,386768.91,228399.75,56017.57,129130.42,3.97,0.024,6.62,3.93,20110707,48380.56,1.49,79.71,133.59,17.91,1.75,13408
300475,聚隆科技,专用机械,安徽,46.94,0.61,2.0,145137.48,134795.2,6264.26,43399.25,2.17,0.483,5.69,3.99,20150610,45844.28,2.29,25.18,-8.27,34.52,20.07,16724
603517,绝味食品,食品,湖南,36.15,0.5,4.1,287925.78,174423.13,49873.55,76670.93,1.87,0.32,5.67,7.14,20170317,108466.77,2.65,0.0,0.0,34.67,13.09,48086
600048,保利地产,全国地产,广东,9.25,107.6,118.58,46799676.0,43512204.0,321988.59,1488667.88,1.26,1.1,7.53,1.29,20060731,5972346.5,5.04,25.38,0.6,29.0,8.03,238239
002385,大北农,饲料,北京,34.4,23.96,41.01,1553265.25,760478.13,361501.38,91968.68,0.22,0.047,2.27,2.85,20100409,393454.5,0.96,20.84,39.77,24.95,4.85,126089
