code,name,mbrg,nprg,nav,targ,epsg,seg
002135,东南网架,13.6014,6.62,3.225,14.8476,12.5,3.157
603538,美诺华,26.8228,6.5534,15.7756,11.8192,5.1948,15.3252
000973,佛塑科技,-9.5309,6.4881,-2.1161,2.1133,0.0,-2.8461
600262,北方股份,-32.1605,6.4747,6.8125,-3.6996,4.2857,8.2873
300489,中飞股份,0.2815,6.4692,17.6283,15.5572,6.4682,17.6283
600180,瑞茂通,28.4835,6.4564,23.5786,20.4851,6.2188,23.6446
600248,延长化建,3.9149,6.4537,38.3767,20.5423,-0.9391,38.3767
000009,中国宝安,3.7654,6.3936,8.1421,8.1818,-13.0435,2.3676
000889,茂业通信,-8.8471,6.3746,80.7816,63.2045,2.9257,81.1086
001979,招商蛇口,30.7728,6.3662,13.2966,10.3477,13.7255,19.5442
300321,同大股份,12.347999999999999,6.3646,3.7623,-0.2054,6.2024,4.7528
603933,睿能科技,14.753,6.3475,26.866999999999997,11.5404,-6.3538,26.2368
300495,美尚生态,6.9992,6.2668,34.5039,27.1609,6.2161,34.5078
300673,佩蒂股份,2.5598,6.2259,9.0121,3.1241,8.8889,9.3135
002431,棕榈股份,16.5138,6.1805,13.2866,30.4143,6.8966,13.922
300579,数字认证,15.1159,6.1566,21.5876,26.9775,5.7143,21.5876
603689,皖天然气,34.713,6.1404,23.5867,37.3003,13.1579,13.9092
300490,华自科技,4.7446,6.1314,13.0064,36.5719,7.2727,13.0064
002177,御银股份,14.498,6.1306,7.1848,6.7529,6.12,7.1848
601939,建设银行,,6.1012,16.5716,8.9885,5.814,16.5325
600919,江苏银行,,6.0951,17.058,35.9662,-2.3256,17.1087
300427,红相电力,10.5341,6.0888,14.7837,16.4172,6.25,14.7837
600459,贵研铂业,26.7963,6.0829,3.661,19.9941,-21.4286,3.5862
600138,中青旅,13.8599,6.0492,39.1116,7.4877,-31.1688,50.9333
603589,口子窖,-7.7068,6.0207,15.9892,1.7806,5.4054,15.9892
600936,广西广电,11.1313,6.0042,7.4464,13.520999999999999,4.0,7.4601
600469,风神股份,-4.3492,5.9844,13.0693,-3.235,5.3892,13.0693
601390,中国中铁,9.2215,5.9651,12.6692,8.7308,9.5455,13.9512
603315,福鞍股份,4.6153,5.9491,-1.0758,8.1563,5.6338,-1.0758
300336,新文化,28.85,5.9395,11.8,19.7766,-47.2892,11.9851
002799,环球印务,8.8465,5.9048,15.6389,7.9389,8.3333,15.6389
600269,赣粤高速,4.2727,5.8838,6.3644,9.6074,7.1429,8.0441
300350,华鹏飞,67.8144,5.8796,4.9673,15.5512,2.8571,5.3305
300334,津膜科技,37.33,5.8653,11.6164,19.605999999999998,-28.2609,9.8331
002275,桂林三金,0.9442,5.8531,5.334,3.5129,5.6338,5.334
300210,森远股份,6.1259,5.8027,13.1331,18.2139,-41.5584,13.1331
000501,鄂武商A,1.8928,5.781000000000001,20.4055,23.875,41.3043,22.8002
600187,国中水务,22.1455,5.7581,6.0229,10.9132,-0.3861,5.9837
603367,辰欣药业,8.2672,5.7514,10.1195,13.9938,5.0847,10.1013
000099,中信海直,12.7961,5.7509,10.8303,16.0013,-5.8205,10.9721
600079,人福医药,17.3275,5.7351,12.7442,25.3438,2.4096,8.7654
601328,交通银行,,5.722,12.3661,5.1563,5.9524,12.2733
002205,国统股份,-7.7528,5.7206,3.6775,-11.225,-4.9877,4.7238
000541,佛山照明,21.4495,5.7003,5.7809,10.7572,3.8462,5.3278
601515,东风股份,11.1305,5.6891,35.2239,28.0596,-47.619,30.5035
002846,英联股份,19.3466,5.6651,21.6248,9.2148,6.5217,21.6248
000513,丽珠集团,20.0394,5.6558,13.2584,11.2184,5.4545,10.5203
000524,岭南控股,-4.6958,5.6539,-13.4022,2.6011,0.0,-13.4022
600266,北京城建,30.145,5.5522,76.8249,38.8758,-23.1515,83.6199
002838,道恩股份,16.1177,5.5433,16.5238,19.2592,4.1667,16.5494
002580,圣阳股份,22.4406,5.5133,1.2447,6.8788,5.8824,1.2447
000661,长春高新,10.4268,5.5128,20.0155,12.2576,12.037,22.4241
600694,大商股份,-4.5664,5.5041,15.2986,-1.4115,4.2394,14.7409
603626,科森科技,52.5553,5.4916,66.7419,84.4204,,66.7419
603100,川仪股份,4.99,5.4726,70.4417,19.4516,-2.0833,72.4041
300462,华铭智能,15.1315,5.4302,14.5009,4.8313,5.2632,14.5009
600523,贵航股份,12.765999999999998,5.4246,10.0011,16.5035,2.2222,5.69
600128,弘业股份,6.4193,5.4171,4.2638,16.9851,2.5834,4.6822
000002,万科A,8.1002,5.4104,9.9149,6.0941,4.3796,14.6543
002561,徐家汇,-1.7394,5.4042,6.1673,4.5116,5.6122,6.1744
002776,柏堡龙,6.5293,5.3914,36.093,14.7135,5.3846,36.093
300536,农尚环境,9.769,5.3704,24.0926,21.1935,5.1724,24.0926
002847,盐津铺子,12.8761,5.309,23.5055,22.2878,-35.8025,23.5055
600016,民生银行,,5.2793,21.2784,24.4536,-12.0805,21.4605
300209,天泽信息,9.3296,5.2736,0.5549,-0.4475,50.0,0.8414
600329,中新药业,17.9154,5.2269,14.434000000000001,3.3232,0.0,14.3294
600192,长城电工,2.3383,5.2177,3.8452,11.0676,-5.1241,3.9785
002325,洪涛股份,-4.3154,5.2138,58.8009,47.1324,2.5,58.5806
600317,营口港,6.0583,5.167000000000001,-2.3269,6.6738,-64.7953,-2.4913
000910,大亚圣象,3.0511,5.1637,-2.0359,-6.4942,24.0,4.2677
002502,骅威文化,6.1362,5.1316,2.6324,6.6305,-47.8261,2.2635
300438,鹏辉能源,4.8069,5.1274,15.2983,19.6344,5.4945,14.9515
002546,新联电子,6.8599,5.124,12.814,22.474,-30.6818,7.0245
300547,川环科技,5.3491,5.0891,5.9893,2.4515,4.7244,5.9893
002592,八菱科技,5.8546,5.0749,85.0307,78.1101,-3.9216,85.0307
601398,工商银行,,5.0657,20.2463,8.945,4.0,20.149
603199,九华旅游,6.4681,5.003,11.7857,-0.7047,5.2632,11.7857
300550,和仁科技,62.4631,4.9467,39.6846,71.7169,-12.5,39.9866
000876,新希望,0.8891,4.8951,30.5573,13.0897,0.0,35.1496
002787,华源控股,17.4378,4.8869,18.144000000000002,13.657,4.5455,18.144000000000002
603816,顾家家居,20.805999999999997,4.8821,15.4897,29.1156,5.7377,14.2508
600676,交运股份,6.6124,4.8759,9.3101,7.8522,5.7143,9.5068
600640,号百控股,27.6262,4.8649,2.7784,3.6736,7.9051,2.5599
000926,福星股份,-12.7402,4.8379,-9.6735,6.1517,5.3191,2.3052
603038,华立股份,7.9606,4.8136,22.7255,26.8497,5.1471,22.7255
002429,兆驰股份,8.6206,4.7883,17.2434,-4.3871,-30.75,17.2434
601611,中国核建,19.6725,4.782,8.7576,33.8495,10.3448,19.7613
002076,雪莱特,12.7037,4.7808,3.5537,7.6227,7.0857,1.9916
603037,凯众股份,4.3717,4.7523,13.1013,7.3841,4.2105,13.1013
603319,湘油泵,4.6427,4.7431,12.1048,10.3404,4.2254,12.1048
603041,美思德,4.8529,4.7313,20.5984,26.695,4.5977,20.5984
603586,金麒麟,9.738999999999999,4.7102,16.2399,5.5747,-2.1739,16.2857
300421,力星股份,11.0526,4.6616,0.9645,16.4001,5.2312,6.2779
600863,内蒙华电,12.1858,4.5846,3.3215,8.8988,-36.1111,-2.0506
300326,凯利泰,75.5225,4.5074,115.1487,114.8355,-53.4446,105.1546
000519,中兵红箭,-2.1418,4.4761,10.554,-0.1934,-12.9032,10.9336
603838,四通股份,3.8547,4.4598,9.4134,7.4082,4.1667,10.3679
002301,齐心集团,-2.6744,4.4571,-0.1445,8.2068,14.2857,-0.1477
300417,南华仪器,16.2867,4.4269,18.8789,18.3983,4.5213,18.8789
600570,恒生电子,17.4543,4.3928,15.4606,29.5929,11.5385,16.1193
601998,中信银行,,4.3734,15.8721,13.6665,3.5714,15.1045
600775,南京熊猫,40.6599,4.274,8.021,11.7462,-28.0566,1.8015
603183,建研院,6.4503,4.1809,22.3654,47.6523,5.0,22.3654
600671,天目药业,-47.1603,4.1786,-13.1674,-11.997,0.0,-3.1289999999999996
000407,胜利股份,28.6407,4.1715,51.0624,17.5232,66.6667,58.3588
