,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
3462,002693,双成药业,0.22,-40.54,,6.7,,5893.28,-11.74,,01-30
3463,300278,华昌达,0.24,140.0,5.05,5.91,-0.08,4913.01,185.8,,01-30
3464,601519,*ST智慧,0.05,800.0,,3.6,,10692.41,816.91,,01-29
3465,600715,文投控股,-0.21,75.0,,,,-4780.52,75.03,,01-29
3466,002323,雅百特,0.12,-57.36,,1.45,,1255.2,-57.37,,01-29
3467,000908,景峰医药,0.55,4483.33,,27.86,,25102.93,7350.94,,01-28
3468,002245,澳洋顺昌,0.41,59.93,,14.25,,17074.67,83.32,10派0.8送3转9,01-28
3469,002684,猛狮科技,0.1,-166.67,,2.08,,1072.59,-165.62,,01-28
3470,600513,联环药业,0.28,16.67,,10.53,,4399.53,14.79,10派0.85,01-28
3471,002633,申科股份,-0.25,31.58,,-7.22,,-3800.0,33.14,,01-27
3472,300208,恒顺众昇,0.38,192.31,2.67,15.06,0.46,10953.07,188.75,,01-27
3473,600393,粤泰股份,0.21,162.5,,6.32,,6154.39,143.06,10派1,01-27
3474,600074,ST保千里,0.03,-89.1,,4.52,,2642.02,-88.9,,01-26
3475,300358,楚天科技,1.35,-34.15,7.13,21.04,-0.07,15690.62,16.25,,01-24
3476,600593,大连圣亚,0.42,18.38,,11.4,,3851.12,18.39,10派1.5,01-23
3477,002654,万润科技,0.23,-8.0,,7.46,,4040.49,-9.1,,01-22
3478,002538,司尔特,0.49,28.95,,8.43,,14406.85,29.09,10派1转10,01-22
